title,keywords,abstract,domain,reviewer,reviewer_profession,Impact_Factor
أهمية الخرسانة عالية الأداء في العصر الرقمي,الخرسانة عالية الأداء، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع الخرسانة عالية الأداء كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,حمد فؤاد المهنا,باحث أساسي  الهيئة العامة للتعليم التطبيقي والتدريب,1.922
البناء الأخضر والتقنيات الحديثة وتحديات العصر الحديث,البناء الأخضر والتقنيات الحديثة، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح البناء الأخضر والتقنيات الحديثة من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,حمد فؤاد المهنا,باحث أساسي  الهيئة العامة للتعليم التطبيقي والتدريب,1.922
فاعلية أنظمة الإضاءة الطبيعية في تحسين الأداء,أنظمة الإضاءة الطبيعية، تصميم، بناء، هندسة، معماري,يعتبر أنظمة الإضاءة الطبيعية من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,أنور عبدهللا الغانم,عضو هيئة تدريب - الهيئة العامة للتعليم التطبيقي والتدريب,1.922
تأثير تصميم المطارات الحديثة على المجتمع,تصميم المطارات الحديثة، تصميم، بناء، هندسة، معماري,تشكل تصميم المطارات الحديثة من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,منى حمد عبدالله آل عشيوان,,1.922
تأثير التصميم المعماري للمستشفيات على المجتمع,التصميم المعماري للمستشفيات، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى التصميم المعماري للمستشفيات من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,إمام خلف الله علي حسين,مدرب متخصص المعهد الصناعي,1.922
التصميم الزلزالي للمنشآت: دراسة ميدانية,التصميم الزلزالي للمنشآت، تصميم، بناء، هندسة، معماري,تتناول هذه الورقة البحثية موضوع التصميم الزلزالي للمنشآت كأحد القضايا المعاصرة التي تستحق الدراسة والتحليل. تم استخدام المنهج الوصفي والتحليلي لجمع البيانات وتحليلها. خلصت الدراسة إلى عدة نتائج مهمة تتعلق بتحسين الوضع الحالي. توصي الدراسة بضرورة إجراء المزيد من البحوث في هذا المجال.,هندسة,أبرار ناصر علي حمدي,طالبة ماجستير، كلية العمارة والتخطيط،,1.922
نظم الأمان في المباني: بين النظرية والتطبيق,نظم الأمان في المباني، تصميم، بناء، هندسة، معماري,في ظل التطورات الحديثة، أصبح نظم الأمان في المباني من المواضيع التي تحظى باهتمام كبير. تهدف هذه الدراسة إلى استكشاف الجوانب المختلفة لهذا الموضوع وتقديم رؤية شاملة. اعتمد البحث على تحليل البيانات المتاحة والدراسات السابقة. توصلت الدراسة إلى توصيات عملية يمكن تطبيقها في الميدان. توصي الدراسة بضرورة تطبيق النتائج في الميدان العملي.,هندسة,خالد صالح الدين الخياط,ستاذ الهندسة المعمارية وتكنولوجيا ومواد البناء الحديثة – قسم الهندسة المعمارية – كلية الهندسة,1.922
أهمية التصميم المعماري للمدارس في العصر الرقمي,التصميم المعماري للمدارس، تصميم، بناء، هندسة، معماري,يعتبر التصميم المعماري للمدارس من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. استخدم الباحث المنهج الوصفي التحليلي في جمع وتحليل البيانات. أظهرت النتائج وجود علاقات مهمة بين المتغيرات المدروسة. توصي الدراسة بضرورة تعزيز التعاون بين الجهات المعنية.,هندسة,احمد الخالد,الهندسة المعمارية,1.922
أهمية تصميم الجسور الحديثة في العصر الرقمي,تصميم الجسور الحديثة، تصميم، بناء، هندسة، معماري,تشكل تصميم الجسور الحديثة من القضايا الأساسية التي تؤثر على مختلف جوانب الحياة. تسعى هذه الدراسة إلى فهم أبعاد هذه القضية وتحديد العوامل المؤثرة فيها. تم الاعتماد على المنهج الوصفي من خلال مراجعة الأدبيات وإجراء التحليل. خلصت الدراسة إلى مجموعة من النتائج والتوصيات التي تسهم في معالجة هذه القضية. توصي الدراسة بضرورة الاستفادة من التجارب الدولية.,هندسة,أنور عبدهللا الغانم,عضو هيئة تدريب - الهيئة العامة للتعليم التطبيقي والتدريب,1.922
إدارة النفايات في: مقاربة جديدة,إدارة النفايات في المشاريع الإنشائية، تصميم، بناء، هندسة، معماري,تسعى هذه الدراسة إلى إدارة النفايات في المشاريع الإنشائية من خلال تحليل الوضع الراهن وتحديد التحديات. اعتمدت الدراسة على المنهج التجريبي والتحليلي. كشفت النتائج عن وجود تأثيرات إيجابية على الجوانب المختلفة. توصي الدراسة بضرورة تطوير البرامج التدريبية.,هندسة,خالد صالح الدين الخياط,ستاذ الهندسة المعمارية وتكنولوجيا ومواد البناء الحديثة – قسم الهندسة المعمارية – كلية الهندسة,1.922
